Key,Type,Desc,English,Georgian,French,German,Italian,Portuguese,Spain,Russian,,TempGeorgianToTranslate
TEXT_LET_US_PLAY,Text,,Let us Play,,JOUONS,Lass uns Spielen!,GIOCHIAMO,Vamos Jogar,JUGUEMOS,Давай Играть,,
TEXT_LET鈥檚_DANCE!,Text,,Let鈥檚 Dance!,,DANSONS !,Lass uns Tanzen!,BALLIAMO!,Vamos Dançar!,¡BAILEMOS!,Давай Танцевать!,,
TEXT_LET鈥檚_DO_A_FLIP!,Text,,Let鈥檚 do a Flip!,,Faisons un Renversement !,Lass uns Eine Drehung Machen!,Facciamo un Salto!,Vamos Dar um Salto!,¡demos una Voltereta!,Сделай Сальто!,,
TEXT_LETS_COLLECT_HONEY,Text,,Lets Collect Honey,,Recueillons le Miel,Lass uns Honig Sammeln!,Raccogliamo il Miele,Vamos Pegar mel,Recojamos la Miel,Давай Собирать Мед,,
TEXT_LETS_COLLECT_TRASH,Text,,Lets Collect Trash,,Ramassons les Ordures,Lass uns Müll Sammeln!,Raccogliamo la Spazzatura,Vamos Pegar Lixo,Recojamos la Basura,Давай Собирать Мусор,,
TEXT_LETS_EAT,Text,,Lets Eat,,MANGEONS,Lass uns Essen!,MANGIAMO,Vamos Comer,Vamos a Comer,Давай Поедим,,
TEXT_LETS_HAVE_FUN,Text,,Lets Have Fun,,AMUSONS-NOUS,Lass uns Spaß Haben!,DIVERTIAMOCI,Vamos nos Divertir,Vamos a Divertirnos,Давай Веселиться,,
TEXT_LETS_HELP_LILLY_WITH_PACKING,Text,,Lets Help Lilly With Packing,,Aidons Lilly à Faire les Bagages,Lass uns Lilly Beim Packen Helfen!,Aiutiamo Lilly a Fare i Bagagli,Vamos Ajudar a Lilly a Embalar,Ayudemos a Lilly a Empaquetar,Давай Поможем Лили Собраться,,
TEXT_LETS_MAKE_A_JUICE,Text,,Lets Make a Juice,,Faisons un jus,Lass uns Einen Saft Machen!,Facciamo un Succo,Vamos Fazer um Suco,Vamos a Hacer Zumo,Давай Сделаем сок,,
TEXT_LETS_MAKE_A_PIZZA,Text,,Lets Make a Pizza,,Préparons une Pizza,Lass uns Eine Pizza Machen!,Facciamo una Pizza,Vamos Fazer uma Pizza,Vamos a Hacer una Pizza,Давай Приготовим Пиццу,,
TEXT_LETS_MAKE_BEARS_HAPPY,Text,,Lets Make Bears Happy,,Rendons les Ours Heureux,Lass uns die Bären Glücklich Machen!,Rendiamo gli Orsi Felici,Vamos Fazer os Ursos Felizes,Hagamos Felices a los Osos,Давай Поможем Медведям,,
TEXT_LETS_PLAY,Text,,Lets Play,,JOUONS,Lass uns Spielen!,GIOCHIAMO,Vamos Jogar,Vamos a Jugar,Давай Играть,,
TEXT_LETS_PLAY_MUSIC,Text,,Lets Play Music,,Jouons de la Musique,Lass uns Musik Hören!,SUONIAMO,Vamos Colocar Música,Vamos a Tocar Música,Давай Играть Музыку,,
TEXT_LETS_PUT_ON_CLOTHES,Text,,Lets Put on Clothes,,Enfilons des Vêtements,Lass uns Kleidung Anziehen!,VESTIAMOCI,Vamos Vestir Roupa,Vamos a Vestirnos,Давай Оденемся,,
TEXT_LETS_START,Text,,Lets Start,,COMMENÇONS,Lass uns Beginnen!,INIZIAMO,Vamos Começar,EMPECEMOS,Давай Начнем,,
TEXT_LETS_START_THE_ADVENTURE,Text,,Lets Start the Adventure,,Commençons L’aventure,Lass uns das Abenteuer Beginnen!,Iniziamo L’avventura,Vamos Começar a Aventura,Empecemos la Aventura,Начнем Приключение,,
TEXT_LETS_START_THE_CLASS,Text,,Lets Start the Class,,Commençons le Cours,Lass uns den Unterricht Beginnen!,Iniziamo la Lezione,Vamos Começar a Aula,Comencemos la Clase,Начнем Занятие,,
TEXT_LETS_WASH_HANDS,Text,,Lets Wash Hands,,Lavons-nous les Mains,Lass uns die Hände Waschen!,Laviamoci le Mani,Vamos Lavar as Mãos,Lavémonos las Manos,Давай Помоем Руки,,
TEXT_LIKES,Text,,LIKES,,AIME,Gefällt Mir,AMA,GOSTOS,GUSTA,НРАВИТСЯ,,
TEXT_LILLY'S_WARDROBE,Text,,Lilly's Wardrobe,,Garde-robe de Lilly,Lillys Kleiderschrank,L’armadio di Lilly,Armário da Lilly,El Armario de Lilly,Гардероб Лили,,
TEXT_LION,Text,,LION,,LION,LÖWE,LEONE,LEÃO,LEÓN,ЛЕВ,,
TEXT_LIZARD,Text,,LIZARD,,LÉZARD,EIDECHSE,LUCERTOLA,LAGARTO,LAGARTO,ЯЩЕРИЦА,,
TEXT_LOOKING_NICE,Text,,Looking Nice,,C’est Joli,Sieht Nett aus,Ti Sta Bene,Ficou Bonito,Se ve Bien,Хорошо Выглядит,,
TEXT_LOOPER_WORM,Text,,Looper Worm,,Chenille Arpenteuse,RAUPE,Verme del Crochet,LOMBRIGA,Gusano de Lazo,ГУСЕНИЦА,,
TEXT_LOVES,Text,,LOVES,,AIME,LIEBT,ADORA,AMORES,ENCANTA,ЛЮБИТ,,
TEXT_LYNX,Text,,LYNX,,LYNX,LUCHS,LINCE,LINCE,LINCE,РЫСЬ,,
TEXT_MANTA_RAY,Text,,Manta Ray,,Raie Manta,TEUFELSROCHEN,MANTA,Raia Manta,Manta Raya,МАНТА,,
TEXT_MATCH_COLORS,Text,,Match Colors,,Faire Correspondre les Couleurs,Farben Finden,Abbina i Colori,Combinar Cores,Combina Colores,Сочетаем Цвета,,
TEXT_MATCH_LETTERS,Text,,Match Letters,,Faire Correspondre les Lettres,Buchstaben Finden,Abbina le Lettere,Combinar Letras,Combina Letras,Сочетаем Буквы,,
TEXT_MATCH_THE_PIECES,Text,,Match the Pieces,,Faire Correspondre les Pièces,Teile Finden,Abbina i Pezzi,Combinar as Peças,Combina Piezas,Сочетаем Части,,
TEXT_MATCH_THE_SHAPES,Text,,Match the Shapes,,Faire Correspondre les Formes,Formen Finden,Abbina le Forme,Combinar as Formas,Combina Formas,Сочетаем Фигуры,,
TEXT_MEAT,Text,,MEAT,,VIANDE,FLEISCH,CARNE,CARNE,CARNE,МЯСО,,
TEXT_MEERKAT,Text,,MEERKAT,,SURICATE,ERDMÄNNCHEN,SURICATO,SURICATA,SURICATA,СУРИКАТ,,
TEXT_MISS...,Text,,MISS...,,MLLE...,Fräulein ...,SIGNORINA…,SENHORITA...,SEÑORITA…,МИСС...,,
TEXT_MMM,Text,,MMM,,HUMM,MMM,MMM,MMM,MMM,М-М-М,,
TEXT_MMM_SO_TASTY,Text,,Mmm so Tasty,,Humm... si Délicieux,"Mmm, so Schmackhaft",Mmm Buonissimo,Mmm Tão Delicioso,"Mmm, Qué Rico","М-м-м, Как Вкусно",,
TEXT_MMM_YUMMY,Text,,Mmm Yummy,,Humm Délicieux,"Mmm, Lecker",Mmm Che Buono,Mmm Delicioso,"Mmm, Delicioso","М-м-м, Вкуснятина",,
TEXT_MONKEY,Text,,MONKEY,,SINGE,AFFE,SCIMMIA,MACACO,MONO,ОБЕЗЬЯНА,,
TEXT_MOSQUITO,Text,,MOSQUITO,,MOUSTIQUE,MÜCKE,ZANZARA,MOSQUITO,MOSQUITO,КОМАР,,
TEXT_MOUSE,Text,,MOUSE,,SOURIS,MAUS,TOPO,RATO,RATÓN,МЫШЬ,,
TEXT_MR...,Text,,MR...,,M...,Herr ...,SIGNOR…,SR...,SEÑOR...,МИСТЕР...,,
TEXT_MRS...,Text,,MRS...,,MME...,Frau ...,SIGNORA…,SRA...,SEÑORA...,МИСС...,,
TEXT_MUSHROOM,Text,,MUSHROOM,,CHAMPIGNON,PILZ,FUNGO,COGUMELO,SETA,ГРИБ,,
TEXT_NARWHAL,Text,,NARWHAL,,NARVAL,NARWAL,NARVALO,NARVAL,NARVAL,НАРВАЛ,,
TEXT_NICE,Text,,NICE,,AGRÉABLE,NETT,CARINO,AGRADÁVEL,BONITO,ХОРОШО,,
TEXT_NINE,Text,,NINE,,NEUF,NEUN,NOVE,NOVE,NUEVE,ДЕВЯТЬ,,
TEXT_NURSE,Text,,NURSE,,INFIRMIÈRE,KRANKENSCHWESTER,INFERMIERA,ENFERMEIRA,ENFERMERA,МЕДСЕСТРА,,
TEXT_NUT,Text,,NUT,,ÉCROU,NUSS,NOCE,NOZ,NUEZ,ОРЕХ,,
TEXT_O'CLOCK,Text,,O'CLOCK,,HEURES,UHR,ORE,HORAS,En Punto,ЧАСОВ,,
TEXT_OCCUPATIONS,Text,,OCCUPATIONS,პროფესიები,PROFESSIONS,BERUFE,PROFESSIONI,OCUPAÇÕES,PROFESIONES,ПРОФЕССИИ,,OCCUPATIONS
TEXT_OCTAGON,Text,,OCTAGON,,OCTOGONE,ACHTECK,OTTAGONO,OCTÓGONO,OCTÁGONO,ВОСЬМИУГОЛЬНИК,,
TEXT_OCTOPUS,Text,,OCTOPUS,,PIEUVRE,TINTENFISCH,POLPO,POLVO,PULPO,ОСЬМИНОГ,,
TEXT_OGGYS_FARM,Text,,Oggys Farm,ოგის ფერმა,Ferme D’oggy,Oggys Bauernhof,Fattoria di Oggy,Fazenda do Oggy,La Granja de Oggy,Ферма Огги,,
TEXT_ONE_,Text,,ONE,ერთი,UN,EINS,UNO,UM,UNO,ОДИН,,ONE
TEXT_ONION,Text,,ONION,,OIGNON,ZWIEBEL,CIPOLLA,CEBOLA,CEBOLLA,ЛУК,,
TEXT_ORANGE,Text,,ORANGE,,ORANGE,ORANGE,ARANCIA/ARANCIONE,LARANJA,NARANJA,АПЕЛЬСИН,,
TEXT_ORANGEFISH,Text,,ORANGEFISH,,Poisson Orange,ORANGENFISCH,Pesce Arancione,Peixe Dourado,Pez Naranja,Оранжевая Рыба,,
TEXT_OVAL,Text,,OVAL,,OVALE,OVAL,OVALE,OVAL,OVAL,ОВАЛ,,
TEXT_OWL,Text,,OWL,,HIBOU,EULE,GUFO,CORUJA,BÚHO,ФИЛИН,,
TEXT_PANDA,Text,,PANDA,,PANDA,PANDA,PANDA,PANDA,PANDA,ПАНДА,,
TEXT_PANTS,Text,,PANTS,,PANTALON,HOSE,PANTALONI,CALÇAS,PANTALONES,ШТАНЫ,,
TEXT_PARALLELOGRAM,Text,,PARALLELOGRAM,,PARALLÉLOGRAMME,PARALLELOGRAMM,PARALLELOGRAMMA,PARALELOGRAMA,PARALELOGRAMO,ПАРАЛЛЕЛОГРАММ,,
TEXT_PARROT,Text,,PARROT,,PERROQUET,PAPAGEI,PAPPAGALLO,PAPAGAIO,LORO,ПОПУГАЙ,,
TEXT_PAST,Text,,PAST,,PASSÉ,VERGANGENHEIT,E,PASSADO,PASADO,ПОСЛЕ,,
TEXT_PEAR,Text,,PEAR,,POIRE,BIRNE,PERA,PÊRA,PERA,ГРУША,,
TEXT_PENGUIN,Text,,PENGUIN,,PINGOUIN,PINGUIN,PINGUINO,PINGUIM,PINGÜINO,ПИНГВИН,,
TEXT_PENTAGON,Text,,PENTAGON,,PENTAGONE,FÜNFECK,PENTAGONO,PENTÁGONO,PENTÁGONO,ПЯТИУГОЛЬНИК,,
TEXT_PEPPER,Text,,PEPPER,,POIVRON,PFEFFER,PEPE,PIMENTA,PIMIENTA,ПЕРЕЦ,,
TEXT_PIG,Text,,PIG,,COCHON,SCHWEIN,MAIALE,PORCO,CERDO,СВИНЬЯ,,
TEXT_PINK,Text,,PINK,,ROSE,ROSA,ROSA,Cor de Rosa,ROSA,РОЗОВЫЙ,,
TEXT_PINK_FISH,Text,,Pink Fish,,Poisson Rose,Rosa Fisch,Pesce Rosa,Peixe Rosa,Pez Rosa,Розовая Рыба,,
TEXT_PIZZA_TIME,Text,,Pizza Time,ვამზადებთ პიცას,Heure de la Pizza,PIZZAZEIT,L’ora Della Pizza,Hora da Pizza,Hora de la Pizza,Пора Есть Пиццу,,Pizza Time
TEXT_SMELLS_GOOD,Text,,Smells Good,,Ça Sent bon,Riecht gut,Ha un Buon Profumo,Cheira Bem,Huele Bien,Хорошо Пахнет,,
TEXT_PLAICE,Text,,PLAICE,,PLIE,SCHOLLE,PLATESSA,SOLHA,PLATIJA,ПАЛТУС,,
TEXT_PLANE,Text,,PLANE,,AVION,FLUGZEUG,AEREO,AVIÃO,AVIÓN,САМОЛЕТ,,
TEXT_PLAY_AND_LEARN,Text,,Play and Learn,ისწავლე თამაშით,Jouer et Apprendre,Spielen und Lernen,Gioca e Impara,Jogue e Aprenda,Jugar y Aprender,Играй и Учись,,Play and Learn
TEXT_PLUMBER,Text,,PLUMBER,,PLOMBIER,KLEMPNER,IDRAULICO,ENCANADOR,FONTANERO,САНТЕХНИК,,
TEXT_PLUS,Text,,PLUS,,PLUS,PLUS,PIÙ,MAIS,MÁS,ПЛЮС,,
TEXT_POLAR_BEAR,Text,,Polar Bear,,Ours Polaire,EISBÄR,Orso Polare,Urso Polar,Oso Polar,Белый Медведь,,
TEXT_POLICE_CAR,Text,,Police Car,,Voiture de Police,POLIZEIAUTO,Automobile Della Polizia,Carro da Polícia,Coche de Policía,Полицейская Машина,,
TEXT_POLICEMAN,Text,,POLICEMAN,,POLICIER,POLIZIST,POLIZIOTTO,POLICIAL,POLICÍA,ПОЛИЦЕЙСКИЙ,,
TEXT_POP_THE_BALLOONS,Text,,Pop the Balloons,,Éclater les Ballons,Ballons Platzen Lassen,Scoppia i Palloncini,Arrebente os Balões,Explota los Globos,Лопай Шарики,,
TEXT_POTATO,Text,,POTATO,,Pomme de Terre,KARTOFFEL,PATATA,BATATA,PATATA,КАРТОФЕЛЬ,,
TEXT_PTERODACTYL,Text,,PTERODACTYL,,PTÉRODACTYLE,PTERODACTYL,PTERODATTILO,PTERODÁTILO,PTERODÁCTILO,ПТЕРОДАКТИЛЬ,,
TEXT_PTEROSAUR,Text,,PTEROSAUR,,PTÉROSAURE,PTEROSAURIER,PTEROSAURO,PTEROSSAURO,PTEROSAURIO,ПТЕРОЗАВР,,
TEXT_PUFFERFISH,Text,,PUFFERFISH,,POISSON-GLOBE,KUGELFISCH,Pesce Palla,PEIXE-BALÃO,Pez Globo,РЫБА-СОБАКА,,
TEXT_PURPLE,Text,,PURPLE,,VIOLET,VIOLETT,PORPORA,ROXO,PÚRPURA,ЛИЛОВЫЙ,,
TEXT_PUT_OUT_THE_FIRE,Text,,Put Out the Fire,,Éteindre le feu,Lösche das Feuer,Spegni il Fuoco,Apague o Fogo,Apaga el Fuego,Потуши Пожар,,
TEXT_QUARTER_PAST,Text,,Quarter Past,,Et Quart,Viertel Nach,E un Quarto,E um Quarto,Y Cuarto,С Четвертью,,
TEXT_QUARTER_TO...,Text,,Quarter To...,,Moins le Quart,Viertel Vor...,… Meno un Quarto,Um Quarto Para...,… Menos Cuarto,Без Четверти...,,
TEXT_RABBIT,Text,,RABBIT,,LAPIN,KANINCHEN,CONIGLIO,COELHO,CONEJO,КРОЛИК,,
TEXT_RACOON,Text,,RACOON,,Raton Laveur,WASCHBÄR,PROCIONE,GUAXINIM,MAPACHE,ЕНОТ,,
TEXT_RADISH,Text,,RADISH,,RADIS,RETTICH,RAVANELLO,RABANETE,RÁBANO,РЕДИС,,
TEXT_RAIN,Text,,RAIN,,PLUIE,REGEN,PIOGGIA!,CHUVA,LLUVIA,ДОЖДЬ,,
TEXT_RAINBOW!,Text,,RAINBOW!,,ARC-EN-CIEL !,REGENBOGEN!,ARCOBALENO!,ARCO-ÍRIS!,¡ARCOÍRIS!,РАДУГА!,,
TEXT_RED,Text,,RED,,ROUGE,ROT,ROSSO,VERMELHO,ROJO,КРАСНЫЙ,,
TEXT_RED_FLOWER,Text,,Red Flower,,Fleur Rouge,Rote Blume,Fiore Rosso,Flor Vermelha,Flor Roja,Красный Цветок,,
TEXT_RHINO,Text,,RHINO,,RHINOCÉROS,NASHORN,RINOCERONTE,RINOCERONTE,RINOCERONTE,НОСОРОГ,,
TEXT_RHOMBUS,Text,,RHOMBUS,,LOSANGE,RHOMBUS,ROMBO,LOSANGO,ROMBO,РОМБ,,
TEXT_ROCKET,Text,,ROCKET,,FUSÉE,RAKETE,RAZZO,FOGUETE,COHETE,РАКЕТА,,
TEXT_ROCKET_DRIVE!,Text,,Rocket Drive!,,Moteur de Fusée !,RAKETENANTRIEB!,Guida il Razzo!,Unidade de Foguete!,Impulsor de Cohete,Реактивный Двигатель!,,
TEXT_ROOSTER,Text,,ROOSTER,,COQ,HAHN,GALLO,GALO,GALLO,ПЕТУХ,,
TEXT_RUBBERDUCK,Text,,RUBBERDUCK,,Canard en Caoutchouc,GUMMIENTE,Paperella di Gomma,Pato de Borracha,Pato de Goma,Резиновая Уточка,,
TEXT_SAILING_BOAT,Text,,Sailing Boat,,VOILIER,SEGELBOOT,Barca a Vela,Barco à Vela,Barco de Vela,Парусная Лодка,,
TEXT_SAVE_THE_ANIMALS,Text,,Save the Animals,,Sauver les Animaux,Rette die Tiere!,Salva gli Animali,Salve os Animais,Salva a los Animales,Спаси Животных,,
TEXT_SEA_ADVENTURE,Text,,Sea Adventure,საზღვაო თავგადასავალი,Aventure en mer,MEERESABENTEUER,Avventura Marina,Aventura no mar,Aventura en el mar,Морское Приключение,,Sea Adventure
TEXT_SEA_HORSE,Text,,Sea Horse,,HIPPOCAMPE,SEEPFERDCHEN,Cavalluccio Marino,CAVALO-MARINHO,Caballo de mar,Морской Конек,,
TEXT_SEA_LION,Text,,Sea Lion,,Lion de mer,SEELÖWE,Leone Marino,LEÃO-MARINHO,León Marino,Морской Лев,,
TEXT_SEA_STAR,Text,,Sea Star,,Étoile de mer,SEESTERN,Stella Marina,ESTRELA-DO-MAR,Estrella de mar,Морская Звезда,,
TEXT_SEA_TURTLE,Text,,Sea Turtle,,Tortue de mer,MEERESSCHILDKRÖTE,Tartaruga Marina,Tartaruga Marinha,Tortuga Marina,Морская Черепаха,,
TEXT_SEAHORSE,Text,,SEAHORSE,,HIPPOCAMPE,SEEPFERDCHEN,Cavalluccio Marino,CAVALO-MARINHO,Caballito de mar,Морской Конек,,
TEXT_SEAL,Text,,SEAL,,PHOQUE,SEEHUND,FOCA,FOCA,FOCA,ТЮЛЕНЬ,,
TEXT_SEASTAR,Text,,SEASTAR,,Étoile de mer,SEESTERN,Stella Marina,ESTRELA-DO-MAR,Estrella de mar,Морская Звезда,,
TEXT_SEVEN,Text,,SEVEN,,SEPT,SIEBEN,SETTE,SETE,SIETE,СЕМЬ,,
TEXT_SHARK,Text,,SHARK,,REQUIN,HAI,SQUALO,TUBARÃO,TIBURÓN,АКУЛА,,
TEXT_SHEEP,Text,,SHEEP,,MOUTON,SCHAF,PECORA,OVELHA,OVEJA,ОВЦА,,
TEXT_SHELLCRAB,Text,,SHELLCRAB,,Crabe à Carapace,MUSCHELKRABBE,GRANCHIO,Caranguejo de Casca,Cangrejo de mar,РАК-ОТШЕЛЬНИК,,
TEXT_SHIP,Text,,SHIP,,NAVIRE,SCHIFF,NAVE,NAVIO,BARCO,КОРАБЛЬ,,
TEXT_SHOPPING_TIME,Text,,Shopping Time,,L’heure du Shopping,EINKAUFSZEIT,Momento Dello Shopping,Hora das Compras,Hora de Comprar,Время Покупок,,
TEXT_SHORTS,Text,,SHORTS,,SHORT,SHORTS,PANTALONCINI,CALÇÕES,Pantalones Cortos,ШОРТЫ,,
TEXT_SILVER,Text,,SILVER,,ARGENT,SILBER,ARGENTO,PRATA,PLATA,СЕРЕБРЯНЫЙ,,
TEXT_SINGER,Text,,SINGER,,CHANTEUR,SÄNGER,CANTANTE,CANTOR,CANTANTE,ПЕВЕЦ,,
TEXT_SIX,Text,,SIX,,SIX,SECHS,SEI,SEIS,SEIS,ШЕСТЬ,,
TEXT_SMART,Text,,SMART,,INTELLIGENT,KLUG,INTELLIGENTE,INTELIGENTE,INTELIGENTE,УМНЫЙ,,
TEXT_SNAIL,Text,,SNAIL,,ESCARGOT,SCHNECKE,LUMACA,CARACOL,CARACOL,УЛИТКА,,
TEXT_SNOW!,Text,,SNOW!,,NEIGE !,SCHNEE!,NEVE!,NEVE!,¡NIEVE!,СНЕГ!,,
TEXT_SO_PRETTY,Text,,So Pretty,,Si Jolie,So Hübsch,Molto Bellino,Que Bonito,Tan Bonito,Как Красиво,,
TEXT_SOLDIER,Text,,SOLDIER,,SOLDAT,SOLDAT,SOLDATO,SOLDADO,SOLDADO,СОЛДАТ,,
TEXT_SOMETHING_IS_MOVING,Text,,Something is Moving,,Quelque Chose Bouge,Etwas Bewegt Sich,Qualcosa si Muove,Algo se Está Movendo,Algo se Mueve,Что-то Движется,,
TEXT_SOMETHING'S_MISSING,Text,,Something's Missing,,Quelque Chose Manque,Etwas Fehlt,Manca Qualcosa,Algo Está Faltando,Algo Falta,Чего-то не Хватает,,
TEXT_SORT_BY_COLORS,Text,,Sort by Colors,,Classer par Couleur,Nach Farben Sortieren,Classifica per Colore,Ordenar por Cores,Ordena por Colores,Отсортируй по Цветам,,
TEXT_SORT_BY_SIZE,Text,,Sort by Size,,Classer par Taille,Nach Größe Sortieren,Classifica per Grandezza,Ordenar por Tamanho,Ordena por Tamaño,Отсортируй по Размеру,,
TEXT_SORT_BY_TYPE,Text,,Sort by Type,,Classer par Type,Nach Art Sortieren,Classifica per Tipo,Ordenar por Tipo,Ordena por Tipo,Отсортируй по Типу,,
TEXT_SORT_CHARACTERS_BY_THEIR_OCCUPATIONS,Text,,Sort Characters by Their Occupations,,Classer les Personnages par Leur Profession,Nach Berufen der Charaktere Sortieren,Classifica i Personaggi a Seconda Delle Loro Professioni,Ordenar Personagens por Suas Ocupações,Ordena los Personajes por sus Profesiones,Отсортируй Персонажей по их Занятиям,,
TEXT_SORT_THE_FOOD,Text,,Sort the Food,,Classer par Type D’aliment,Das Essen Sortieren,Classifica i Cibi,Ordenar a Comida,Clasifica la Comida,Отсортируй Продукты,,
TEXT_SORT_THE_OBJECTS,Text,,Sort the Objects,,Classer par Type D’objet,Die Objekte Sortieren,Classifica gli Oggetti,Ordenar os Objetos,Clasifica los Objetos,Отсортируй Предметы,,
TEXT_SORT_VEGETABLES_BY_COLOR,Text,,Sort Vegetables by Color,,Classer les Légumes par Couleur,Das Gemüse Nach Farbe Sortieren,Classifica le Verdure per Colore,Ordenar os Vegetais por cor,Clasifica las Verduras por su Color,Отсортируй Овощи по Цвету,,
TEXT_SPIDER,Text,,SPIDER,,ARAIGNÉE,SPINNE,RAGNO,ARANHA,ARAÑA,ПАУК,,
TEXT_SQUARE,Text,,SQUARE,,CARRÉ,QUADRAT,QUADRATO,QUADRADO,CUADRADO,КВАДРАТ,,
TEXT_SQUARREL,Text,,SQUARREL,,ÉCUREUIL,VIERECK,SCOIATTOLO,ESQUILO,ARDILLA,БЕЛКА,,
TEXT_STAR,Text,,STAR,ვარსკვლავი,ÉTOILE,STERN,STELLA,ESTRELA,ESTRELLA,ЗВЕЗДА,,STAR
TEXT_STARFISH,Text,,STARFISH,,Étoile de mer,SEESTERN,Stella Marina,ESTRELA-DO-MAR,Estrella de mar,Морская Звезда,,
TEXT_STEGOSAURUS(YELLOW),Text,,STEGOSAURUS(YELLOW),,Stégosaure (jaune),STEGOSAURIERER(GELB),Stegosauro (giallo),Estegossauro (amarelo),Estegosaurio (amarillo),Стегозавр (желтый),,
TEXT_STRAWBERRY,Text,,STRAWBERRY,,FRAISE,ERDBEERE,FRAGOLA,MORANGO,FRESA,КЛУБНИКА,,
TEXT_STRIPEFISH,Text,,STRIPEFISH,,Poisson Rayé,STREIFENFISCH,Pesce Persico,Peixe Listrado,Pez Raya,Полосатая Рыба,,
TEXT_STRIPERFISH,Text,,STRIPERFISH,,Poisson Rayé,STREIFENFISCH,Pesce Persico,Peixe Listrado,Pez Raya,Полосатая Рыба,,
TEXT_STRONG_DINO,Text,,Strong Dino,,Dinosaure Fort,Starker Dino,Dinosauro Forte,Dino Forte,Dinosaurio Fuerte,Сильный Динозавр,,
TEXT_SUBMARINE,Text,,SUBMARINE,,SOUS-MARIN,U-BOOT,SOTTOMARINO,SUBMARINO,SUBMARINO,Подводная Лодка,,
TEXT_SUNFLOWER,Text,,SUNFLOWER,,TOURNESOL,SONNENBLUME,GIRASOLE,GIRASSOL,GIRASOL,ПОДСОЛНЕЧНИК,,
TEXT_SWORDFISH,Text,,SWORDFISH,,ESPADON,SCHWERTFISCH,Pesce Spada,PEIXE-ESPADA,Pez Espada,РЫБА-МЕЧ,,
TEXT_T-REX,Text,,T-REX,,TYRANNOSAURE,T-REX,T-REX,T-REX,Tiranosaurio Rex,ТИРАННОЗАВР,,
TEXT_TACO,Text,,TACO,,TACO,TACO,TACO,TACO,TACO,ТАКО,,
TEXT_TALL_DINO,Text,,Tall Dino,,Dinosaure Géant,Großer Dino,Dinosauro Alto,Dino Alto,Dinosaurio Alto,Высокий Динозавр,,
TEXT_TANK,Text,,TANK,,RÉSERVOIR,PANZER,ACQUARIO,TANQUE,TANQUE,ТАНК,,
TEXT_TAP_ON_EGGS_TO_CRACK,Text,,Tap on Eggs to Crack,,Appuyer sur les Œufs Pour les Casser,"Tippe die Eier An, um Sie Aufzuschlagen",Tocca le Uova per Romperle,Toque nos Ovos Para Quebrar,Toca los Huevos Para Romperlos,"Нажимай на Яйца, Чтобы Они Разбились",,
TEXT_TAP_THE_BALLOONS,Text,,Tap the Balloons,,Appuyer sur les Ballons,Tippe die Ballons an,Tocca i Palloncini,Toque nos Balões,Toca los Globos,Нажимай на Воздушные Шары,,
TEXT_TAXI,Text,,TAXI,,TAXI,TAXI,TAXI,TÁXI,TAXI,ТАКСИ,,
TEXT_TEN,Text,,TEN,,DIX,ZEHN,DIECI,DEZ,DIEZ,ДЕСЯТЬ,,
TEXT_THANKS,Text,,THANKS,,MERCI,DANKE,GRAZIE,OBRIGADO,GRACIAS,СПАСИБО,,
TEXT_THERE_IS_SOMETHING,Text,,There is Something,,Il y a Quelque Chose,Da ist Etwas,C’è Qualcosa,Tem Algo,Hay Algo,Здесь Что-то Есть,,
TEXT_THERE_IS_SOMETHING_LEFT,Text,,There is Something Left,,Il Reste Quelque Chose,Da ist Etwas Übrig,C’è Ancora Qualcosa,Tem Algo Mais,Hay Algo que Falta,Что-то Еще Осталось,,
TEXT_THIS_IS_BEES'_HOME,Text,,This is Bees' Home,,C’est une Ruche,Das ist das Zuhause der Bienen,Questa è la Casa Delle Api,Esta é a Casa das Abelhas,Este es el Hogar de las Abejas,Это Дом Пчел,,
TEXT_THREE,Text,,THREE,,TROIS,DREI,TRE,TRÊS,TRES,ТРИ,,
TEXT_TIGER,Text,,TIGER,,TIGRE,TIGER,TIGRE,TIGRE,TIGRE,ТИГР,,
TEXT_TIME_TO_SLEEP,Text,,Time to Sleep,,L’heure de Dormir,SCHLAFENSZEIT,Momento Della Nanna,Hora de Dormir,Hora de Dormir,Пора Спать,,
TEXT_TO,Text,,TO,TO,POUR,BIS,A,PARA,A,ДО,,TO
TEXT_TOMATO,Text,,TOMATO,,TOMATE,TOMATE,POMODORO,TOMATE,TOMATE,ПОМИДОР,,
TEXT_TORTOISE,Text,,TORTOISE,,Tortue Terrestre,SCHILDKRÖTE,TESTUGGINE,TARTARUGA,TORTUGA,ЧЕРЕПАХА,,
TEXT_TOYSORTING,Text,,TOYSORTING,ვალაგებთ სათამაშოებს,Classement des Jouets,SPIELZEUGSORTIERUNG,Smistamento Giocattoli,Ordenar Brinquedos,Ordenar Juguetes,Сортировка Игрушек,,TOYSORTING
TEXT_TRACTOR,Text,,TRACTOR,,TRACTEUR,TRAKTOR,#ERROR!,TRATOR,TRACTOR,ТРАКТОР,,
TEXT_TRAIN,Text,,TRAIN,,TRAIN,ZUG,TRENO,TREM,TREN,ПОЕЗД,,
TEXT_TRAVELING_TIME,Text,,Traveling Time,,Moment de Voyager,REISEZEIT,Tempo di Viaggio,Hora de Viajar,Tiempo de Viaje,Пора Путешествовать,,
